nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Fmax,smax,Ncycles,f,E,Temp.
982,49.79,0.0,3.83,25.38,97.21,145.0,1.0,-50.49,-519.4,0.0,0.0,39.2,30.443137254901963
983,49.79,0.0,3.82,25.34,96.86,145.0,1.0,-52.12,-538.04,0.0,0.0,39.2,30.443137254901963
984,49.79,0.0,3.83,25.45,97.54,145.0,1.0,-52.64,-539.69,0.0,0.0,38.9,30.443137254901963
985,51.11,0.0,3.77,25.23,95.11,145.0,1.0,76.27,801.95,0.0,0.0,42.59,30.443137254901963
997,53.73,90.0,6.33,25.04,158.45,145.0,1.0,8.54,53.9,0.0,0.0,14.02,30.443137254901963
998,53.73,90.0,6.32,25.21,159.3,145.0,1.0,8.24,51.73,0.0,0.0,14.73,30.443137254901963
999,53.73,90.0,6.31,25.29,159.59,145.0,1.0,8.63,54.08,0.0,0.0,14.35,30.443137254901963
1000,53.73,90.0,6.29,25.0,157.19,145.0,1.0,8.81,56.05,0.0,0.0,14.07,30.443137254901963
1001,53.73,90.0,6.35,25.18,159.84,145.0,1.0,8.59,53.74,0.0,0.0,13.84,30.443137254901963
1002,53.73,90.0,6.35,25.2,160.0,145.0,1.0,9.19,57.44,0.0,0.0,13.88,30.443137254901963
1003,53.73,90.0,6.31,25.11,158.39,145.0,1.0,9.49,59.92,0.0,0.0,14.01,30.443137254901963
1004,53.73,90.0,6.33,25.23,159.69,145.0,1.0,8.73,54.67,0.0,0.0,14.16,30.443137254901963
1005,53.73,90.0,6.33,25.27,159.96,145.0,1.0,9.08,56.76,0.0,0.0,14.69,30.443137254901963
1006,53.73,90.0,6.38,24.99,159.53,145.0,1.0,7.91,49.58,0.0,0.0,14.09,30.443137254901963
1007,53.73,90.0,6.36,25.11,159.68,145.0,1.0,8.39,52.54,0.0,0.0,14.42,30.443137254901963
1008,53.73,90.0,6.3,25.24,159.07,145.0,1.0,8.31,52.24,0.0,0.0,14.39,30.443137254901963
1009,53.73,90.0,6.36,25.24,160.51,145.0,1.0,9.11,56.76,0.0,0.0,13.9,30.443137254901963
1010,53.73,90.0,6.33,25.13,159.05,145.0,1.0,-27.16,-170.78,0.0,0.0,15.1,30.443137254901963
1011,53.73,90.0,6.34,25.26,160.05,145.0,1.0,9.11,56.92,0.0,0.0,13.78,30.443137254901963
1012,53.73,90.0,6.32,25.16,159.01,145.0,1.0,8.22,51.69,0.0,0.0,7.74,30.443137254901963
1013,53.73,90.0,6.3,25.27,159.13,145.0,1.0,-26.7,-167.77,0.0,0.0,14.7,30.443137254901963
1014,53.73,90.0,6.36,25.19,160.3,145.0,1.0,8.69,54.21,0.0,0.0,14.6,30.443137254901963
1015,53.73,90.0,6.32,25.19,159.2,145.0,1.0,8.14,51.13,0.0,0.0,14.29,30.443137254901963
1016,53.73,90.0,6.29,25.3,159.21,145.0,1.0,8.01,50.31,0.0,0.0,13.93,30.443137254901963
1017,53.73,90.0,6.28,25.25,158.51,145.0,1.0,8.27,52.17,0.0,0.0,14.17,30.443137254901963
