nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,R-value1,Fmax,smax,Ncycles,f,E,Temp.,stens,ftens,scomp,fcomp
1377,55.05,90.0,6.09,24.98,152.21,10.0,-23.34,-153.34,2.439332693830263,2.73,16.13,29.984285714285715,54.33,8.25,-148.27,-22.69
1378,55.05,90.0,6.06,25.1,152.09,-1.0,7.14,46.92,0.7781512503836436,0.84,15.665000000000001,29.984285714285715,54.33,8.25,-148.27,-22.69
1379,55.05,90.0,6.11,25.14,153.67,-1.0,4.14,26.95,4.00650882777529,2.54,16.185000000000002,27.6,53.33,8.22,-148.27,-22.69
1380,55.05,90.0,5.98,25.03,149.74,10.0,-22.96,-153.36,2.6866362692622934,2.73,15.81,27.5,58.11,8.81,-153.3,-23.0
1381,55.05,90.0,6.12,25.07,153.49,10.0,-22.96,-149.61,2.2329961103921536,2.73,14.98,29.984285714285715,53.33,8.22,-148.27,-22.69
1382,55.05,90.0,6.07,25.12,152.54,-1.0,7.16,46.92,2.568201724066995,0.84,15.975,29.984285714285715,54.33,8.25,-148.27,-22.69
1383,55.05,90.0,6.09,25.08,152.82,-1.0,4.12,26.95,3.994449137014036,2.54,15.149999999999999,29.984285714285715,54.33,8.25,-148.27,-22.69
1384,55.05,90.0,6.18,25.1,155.12,10.0,-23.79,-153.35,2.1931245983544616,2.73,15.4,29.984285714285715,50.92,7.88,-88.98,-13.91
1385,55.05,90.0,6.01,25.12,151.03,10.0,-20.67,-136.84,4.397679353778606,2.73,15.5,29.984285714285715,58.11,8.81,-153.3,-23.0
1386,55.05,90.0,6.31,25.14,158.7,10.0,-21.72,-136.84,3.714078164981856,2.73,15.52,29.984285714285715,58.58,9.15,-168.23,-26.59
1387,55.05,90.0,6.04,25.13,151.81,10.0,-17.46,-115.01,6.3829077837185055,3.86,16.61,27.5,54.33,8.25,-148.27,-22.69
1388,55.05,90.0,6.09,25.1,152.94,-1.0,7.18,46.93,2.3710678622717363,0.84,14.835,29.984285714285715,54.33,8.25,-148.27,-22.69
1389,55.05,90.0,6.08,25.18,153.09,-1.0,7.18,46.93,2.290034611362518,0.84,14.51,29.984285714285715,53.09,8.11,-148.27,-22.69
1390,55.05,90.0,6.0,25.14,150.74,10.0,-17.19,-114.05,6.193868664274395,4.94,14.91,29.984285714285715,58.11,8.81,-153.3,-23.0
1391,55.05,90.0,6.17,24.99,154.11,-1.0,4.15,26.95,4.032659046039924,2.54,15.809999999999999,29.984285714285715,50.92,7.88,-88.98,-13.91
1392,55.05,90.0,6.07,25.06,152.03,10.0,-20.8,-136.84,4.510531605849078,2.73,16.05,29.984285714285715,54.33,8.25,-148.27,-22.69
1393,55.05,90.0,6.1,25.06,152.8,10.0,-20.91,-136.84,4.016615547557177,2.73,16.62,29.984285714285715,61.38,9.39,-148.27,-22.69
1394,55.05,90.0,6.17,25.02,154.39,10.0,-28.01,-181.42,0.0,0.02,15.15,29.984285714285715,50.92,7.88,-88.98,-13.91
1395,55.05,90.0,6.21,24.96,155.06,-1.0,7.28,46.92,2.5728716022004803,0.84,15.315000000000001,29.984285714285715,55.1,8.5,-88.98,-13.91
1396,55.05,90.0,6.06,25.13,152.37,0.1,4.57,30.0,3.8534548413680665,3.41,14.85,29.984285714285715,54.33,8.25,-148.27,-22.69
1397,55.05,90.0,6.27,24.97,156.46,-1.0,7.34,46.93,2.7363965022766426,0.84,14.760000000000002,29.984285714285715,58.58,9.15,-96.63,-15.13
1625,53.73,90.0,6.21,25.51,158.48,10.0,-18.05,-113.86,5.033142177060625,4.96,14.63,29.984285714285715,65.99403515,10.4,236.3554421,37.34
1626,53.73,90.0,6.27,25.56,160.37,10.0,-18.26,-113.86,5.177646141838193,4.96,14.93,25.0,50.31,8.01,-164.85,-26.14
1627,53.73,90.0,6.35,25.46,161.78,0.1,4.97,30.74,5.162624140307846,3.25,14.5,21.8,56.92,9.11,-171.69,-27.52
1649,50.87,0.0,3.61,24.85,89.59,0.1,26.08,290.94,5.72113186048972,6.19,40.25,38.0,798.23,72.8,-465.34,-42.7
1650,50.82,0.0,3.67,24.77,90.7,0.1,35.41,389.95,4.273325424275121,3.35,39.89,51.0,794.02,72.57,-465.34,-42.7
1651,50.87,0.0,3.58,24.83,88.78,0.1,26.06,293.17,5.726819272957204,6.19,40.86,44.15,798.23,72.8,-465.34,-42.7
1652,50.87,0.0,3.63,24.86,90.12,0.1,35.55,394.24,4.3437432950100945,3.35,39.82,44.15,798.23,72.8,-465.34,-42.7
1653,50.87,0.0,3.6,24.93,89.5,0.1,26.17,291.92,5.407016791185454,6.19,39.75,44.15,798.23,72.8,-457.32,-42.3
1654,50.82,0.0,3.58,24.74,88.4,0.1,35.38,399.91,4.45638121798532,3.35,39.13,44.15,818.65,73.99,-474.04,-43.32
1655,50.82,0.0,3.64,24.85,90.44,0.1,44.96,496.5,3.570776368794748,2.09,39.44,49.0,798.23,72.8,-465.34,-42.7
1656,50.82,0.0,3.68,24.75,90.83,0.1,44.8,492.41,3.401745082237063,2.09,40.53,44.15,794.02,72.57,-474.04,-43.32
1657,50.82,0.0,3.62,24.8,89.64,0.1,44.89,500.68,3.4720246977002813,2.09,40.02,44.15,818.65,73.99,-465.34,-42.7
1658,50.82,0.0,3.68,24.66,90.7,-1.0,16.52,181.88,6.254246358796541,4.56,39.685,44.15,794.02,72.57,-474.04,-43.32
1659,50.82,0.0,3.76,24.83,93.22,-1.0,16.64,178.42,6.262245997359259,4.56,39.864999999999995,44.15,774.84,72.18,-450.76,-42.48
1660,50.87,0.0,3.71,24.8,91.88,-1.0,16.62,180.73,6.172820315900704,4.56,39.655,49.0,794.02,72.57,-465.34,-42.7
1661,50.87,0.0,3.7,24.73,91.33,-1.0,23.99,262.52,3.5626496722119168,2.17,39.730000000000004,44.15,794.02,72.57,-474.04,-43.32
