nr,smax,Ncycles,smean
2601,126.08,4.374766670285203,-94.56
2602,-438.68,3.772028165324855,-658.02
2604,335.66,3.65359838184329,184.61300000000003
2605,-412.59,4.875645719848249,-618.885
2606,-407.48,5.366103423118783,-611.22
2607,-439.75,4.4919496945765545,-659.625
2608,294.13,3.548512256341036,88.23899999999999
2609,187.27,4.099715162351024,0.0
2610,-269.13,6.129281824572188,-1480.215
2611,240.2,3.446070935701005,0.0
2612,139.39,5.804342555557652,0.0
2613,189.65,3.622317660833844,0.0
2614,204.86,6.332622238690065,153.645
2615,186.44,4.605272715323677,0.0
2616,278.06,4.158754386632288,152.93300000000002
2622,180.72,3.5169318088680126,0.0
2623,132.01,6.161994431855405,0.0
2624,179.57,3.296665190261531,0.0
2625,-288.62,5.109183554169652,-1587.41
2626,273.38,4.193597610298094,150.359
2627,351.71,4.057285644418215,263.7825
2628,271.74,4.96900099093947,203.805
2629,-238.08,5.889618201838019,178.56
2631,-290.57,4.3979400086720375,-1598.135
2632,335.63,3.397940008672037,1845.965
2633,347.19,3.397940008672037,1909.545
2634,-308.82,3.397940008672037,-1698.51
2635,-315.32,3.397940008672037,-1734.26
2636,326.87,4.3979400086720375,0.0
2637,329.61,4.3979400086720375,0.0
2638,321.37,3.397940008672037,176.75350000000003
2639,324.07,5.698970004336019,178.23850000000002
2640,330.8,4.3979400086720375,181.94000000000003
2641,330.87,4.3979400086720375,181.97850000000005
2642,326.27,3.397940008672037,179.4485
2643,327.08,3.397940008672037,179.894
2644,319.76,3.397940008672037,175.868
2645,242.34,5.698970004336019,0.0
2646,228.72,3.397940008672037,0.0
2647,240.77,3.397940008672037,0.0
2648,227.46,4.3979400086720375,0.0
2649,232.0,4.3979400086720375,0.0
2650,239.23,4.3979400086720375,0.0
2651,241.15,3.397940008672037,0.0
2652,244.09,3.397940008672037,0.0
2653,-313.9,4.3979400086720375,-1726.4499999999998
2654,-317.33,4.3979400086720375,-1745.3149999999998
2655,-312.43,4.3979400086720375,-1718.365
2656,-315.33,3.397940008672037,-1734.3149999999998
2657,-316.24,3.397940008672037,-1739.3200000000002
2734,95.44,7.595429055305109,28.632
2735,-324.63,3.8356905714924254,-1785.465
2736,-316.34,3.740362689494244,-1739.87
2737,234.85,3.060697840353612,0.0
2738,239.17,3.230448921378274,0.0
2739,237.38,3.720159303405957,0.0
2740,324.59,4.57978359661681,0.0
2741,330.75,4.332438459915605,0.0
2742,-329.67,4.231724383328516,-1813.185
2743,-314.92,4.557507201905658,-1732.0600000000002
2744,319.67,4.781755374652469,0.0
2745,337.87,4.113943352306837,0.0
2746,332.84,4.060697840353612,0.0
2747,356.22,2.812913356642856,195.921
2749,355.12,2.740362689494244,195.31600000000003
2750,337.9,3.316808752053022,185.845
2751,295.48,4.491361693834273,1625.14
2752,295.45,4.301029995663981,1624.975
2753,349.01,3.4149733479708178,1919.555
2754,350.08,3.230448921378274,1925.44
2755,-335.98,5.698970004336019,-1847.89
2778,329.08,3.380211241711606,1809.94
2779,-309.15,5.006735520718848,-1700.3249999999998
2780,-310.73,3.525044807036845,-1709.015
2781,225.3,3.500510910526337,0.0
2782,363.91,3.544068044350276,0.0
2783,-315.26,3.812913356642856,-1733.9299999999998
2784,574.99,0.0,287.495
2785,-481.05,6.351978641387708,-264.57750000000004
2786,-487.53,6.301025869846805,-268.1415
2787,332.74,3.115277591395901,183.00700000000003
2788,-476.36,0.0,-238.18
2789,-261.99,5.230448921378274,-1440.9450000000002
2790,-314.07,3.792391689498254,-1727.385
2791,-315.12,5.017242084547646,-1733.16
2792,-311.89,3.781755374652469,-1715.395
2793,-427.13,0.0,-213.565
2794,-439.33,6.699694497764048,-0.0
2795,227.39,3.2750808984568587,0.0
2796,229.07,3.068927611682072,0.0
2797,630.26,0.0,315.13
2798,227.06,3.279210512601395,0.0
2799,539.9,4.698970004336019,2969.45
2800,292.14,3.740362689494244,1606.77
